   75    102.  -.86904357E+02  -.87128693E+02 -.87128693E+02  0.22434E+00 0.00E+00 0.00E+00
   76    107.  -.86904500E+02  -.87138753E+02 -.87138753E+02  0.23425E+00 0.00E+00 0.00E+00
   77    114.  -.86904934E+02  -.87154877E+02 -.87154877E+02  0.24994E+00 0.00E+00 0.00E+00
   78    121.  -.86905298E+02  -.87170785E+02 -.87170785E+02  0.26549E+00 0.00E+00 0.00E+00
   79    126.  -.86905279E+02  -.87181243E+02 -.87181243E+02  0.27596E+00 0.00E+00 0.00E+00
   80    128.  -.86904861E+02  -.87186726E+02 -.87186726E+02  0.28187E+00 0.00E+00 0.00E+00
   81    131.  -.86904432E+02  -.87193155E+02 -.87193155E+02  0.28872E+00 0.00E+00 0.00E+00
   82    138.  -.86904346E+02  -.87206621E+02 -.87206621E+02  0.30227E+00 0.00E+00 0.00E+00
   83    147.  -.86904654E+02  -.87228248E+02 -.87228248E+02  0.32359E+00 0.00E+00 0.00E+00
   84    158.  -.86905133E+02  -.87253284E+02 -.87253284E+02  0.34815E+00 0.00E+00 0.00E+00
   85    168.  -.86905549E+02  -.87274126E+02 -.87274126E+02  0.36858E+00 0.00E+00 0.00E+00
   86    172.  -.86905781E+02  -.87284038E+02 -.87284038E+02  0.37826E+00 0.00E+00 0.00E+00
